# Supplementary material of "Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution"
# Species	Common name	Sequencing technique	Kingdom	Phylum	Centromere type	Repeat length (nt)	GC content (%)	Repeat Fraction	Rep Fraction (%)	Genomic Fraction	Genomic Fraction (%)	Genomic Fraction (log2 of %)	Genomic Fraction group (Figure S5A)	Karyotype (2n)	Genome Size (Gb)	Average Size Repeat Array (kb)	Higher Order Repeat structure	NCBI Trace Archive	DDBJ DRA
Arabidopsis lyrata	Lyrate rockcress	Sanger	Plantae	Eudicot	Monocentric	179	40	0.39336	39.336	0.01371	1.371	0.4552285711	4	10	0.41	1124.22	found	fasta.arabidopsis_lyrata_subsp__lyrata.002.gz; fasta.arabidopsis_lyrata_subsp__lyrata.003.gz; fasta.arabidopsis_lyrata_subsp__lyrata.004.gz; fasta.arabidopsis_lyrata_subsp__lyrata.005.gz; fasta.arabidopsis_lyrata_subsp__lyrata.007.gz	nd
Arabidopsis thaliana	Mouse-ear cress	Illumina	Plantae	Eudicot	Monocentric	178	39	nd	nd	0.08187	8.187	3.033334895	6	10	0.25	4093.5	nd	nd	SRX031270
Ascaris lumbricoides	Roundworm	Sanger	Animalia	Nematoda	Holocentric	67	32	0.11454	11.454	0.000261	0.0261	-5.259806383	1	12	0.68	29.58	not found	fasta.ascaris_lumbricoides.001.gz	nd
Ateles geoffroyi	Black-handed spider monkey	Sanger	Animalia	Chordata	Monocentric	343	43	0.69231	69.231	0.003612	0.3612	-1.469130202	3	34	3.25	690.5294118	not found	fasta.ateles_geoffroyi.001.gz	nd
Biomphalaria glabrata	Freshwater snail	Sanger	Animalia	Mollusca	Monocentric	78	50	0.10972	10.972	0.004363	0.4363	-1.196607621	3	36	0.95	230.2694444	not found	fasta.biomphalaria_glabrata.001.gz	nd
Bison bison	American bison	PacBio	Animalia	Chordata	Monocentric	1409	50	nd	nd	0.001484	0.1484	-2.752437003	3	60	3.3	163.24	not found	nd	nd
Boechera holboellii	Holbøll's rockcress	Illumina	Plantae	Eudicot	Monocentric	87	31	nd	nd	0.020849	2.0849	1.059978188	5	14	0.24	714.8228571	nd	nd	SRX029675
Boechera stricta	Drummond's rockcress	Illumina	Plantae	Eudicot	Monocentric	166	33	nd	nd	0.05343	5.343	2.417650017	5	14	0.24	1831.885714	nd	nd	SRX090635
Bombyx mandarina	Silkworm	Illumina	Animalia	Arthropoda	Holocentric	25	52	nd	nd	0.001855	0.1855	-2.430508908	3	56	0.52	34.45	nd	nd	SRX011562
Bombyx mori	Silkworm	Illumina	Animalia	Arthropoda	Holocentric	20	10	nd	nd	0.004502	0.4502	-1.151362038	3	56	0.52	83.60857143	nd	nd	SRX007117
Bos grunniens	Yak	PacBio	Animalia	Chordata	Monocentric	1412	60	nd	nd	0.00045	0.045	-4.473931188	5	60	3.3	49.5	not found	nd	nd
Bos taurus indicus	Nellore cattle	Illumina, PacBio	Animalia	Chordata	Monocentric	1418	51	nd	nd	0.00632	0.632	-0.6620035365	3	60	3.31	697.3066667	nd	nd	ERX009400
Bos taurus taurus	Hereford cattle	Sanger, Illumina, PacBio	Animalia	Chordata	Monocentric	1419	52	nd	nd	0.002009	0.2009	-2.315450531	3	60	3.7	247.7766667	not found	fasta.bos_taurus.013.gz; fasta.bos_taurus.047.gz; fasta.bos_taurus.048.gz; fasta.bos_taurus.049.gz; fasta.bos_taurus.068.gz	ERX000386
Brachypodium distachyon	Purple false brome	Sanger	Plantae	Monocot	Monocentric	156	49	0.69668	69.668	0.004787	0.4787	-1.062806289	3	5	0.544	1041.6512	found	fasta.brachypodium_distachyon.001.gz; fasta.brachypodium_distachyon.002.gz; fasta.brachypodium_distachyon.004.gz; fasta.brachypodium_distachyon.005.gz; fasta.brachypodium_distachyon.006.gz	nd
Branchiostoma floridae	Lancelet	Sanger	Animalia	Chordata	Monocentric	216	48	0.15704	15.704	0.004675	0.4675	-1.09696173	3	24	0.59	229.8541667	not found	fasta.branchiostoma_floridae.007.gz; fasta.branchiostoma_floridae.008.gz; fasta.branchiostoma_floridae.011.gz; fasta.branchiostoma_floridae.014.gz; fasta.branchiostoma_floridae.018.gz	nd
Branta leucopsis	Barnacle goose	Illumina	Animalia	Chordata	Monocentric	57	16	nd	nd	0.006863	0.6863	-0.5430887402	4	nd	nd	nd	nd	nd	SRX037832
Brassica oleracea	Cabbage	Sanger, Illumina	Plantae	Eudicot	Monocentric	176	40	0.24261	24.261	0.039194	3.9194	1.970632817	5	12	1.3	8492.033333	found	fasta.brassica_oleracea.001.gz	SRX032205
Brugia malayi	Roundworm	Sanger	Animalia	Nematoda	Holocentric	62	27	0.37669	37.669	0.014251	1.4251	0.5110631575	4	10	0.11	313.522	not found	fasta.brugia_malayi.001.gz; fasta.brugia_malayi.002.gz; fasta.brugia_malayi.003.gz	nd
Bubalus bubalis	Water buffalo	Illumina, PacBio	Animalia	Chordata	Monocentric	677	52	nd	nd	0.002922	0.2922	-1.774971917	3	50	3.3	385.704	not found	nd	SRX015182
Caenorhabditis briggsae	Roundworm	Sanger	Animalia	Nematoda	Holocentric	163	30	0.10533	10.533	0.001172	0.1172	-3.092955525	2	12	0.12	23.44	not found	fasta.caenorhabditis_briggsae.001.gz; fasta.caenorhabditis_briggsae.002.gz; fasta.caenorhabditis_briggsae.003.gz; fasta.caenorhabditis_briggsae.004.gz; fasta.caenorhabditis_briggsae.005.gz	nd
Caenorhabditis elegans	Roundworm	Illumina	Animalia	Nematoda	Holocentric	59	27	nd	nd	0.000919	0.0919	-3.443791328	2	4	0.1	45.95	nd	nd	SRX001947
Caenorhabditis japonica	Roundworm	Sanger	Animalia	Nematoda	Holocentric	191	37	0.06522	6.522	0.000559	0.0559	-4.161007907	2	12	0.12	11.18	not found	fasta.caenorhabditis_japonica.001.gz; fasta.caenorhabditis_japonica.002.gz; fasta.caenorhabditis_japonica.003.gz; fasta.caenorhabditis_japonica.004.gz	nd
Caenorhabditis remanei	Roundworm	Sanger	Animalia	Nematoda	Holocentric	184	36	0.27407	27.407	0.014747	1.4747	0.5604214951	4	28	0.13	136.9364286	found	fasta.caenorhabditis_remanei.001.gz; fasta.caenorhabditis_remanei.002.gz; fasta.caenorhabditis_remanei.004.gz; fasta.caenorhabditis_remanei.005.gz	nd
Cajanus cajan	Pigeon pea	Illumina	Plantae	Eudicot	Monocentric	100	38	nd	nd	0.008118	0.8118	-0.3008037549	4	22	0.88	649.44	nd	nd	SRX031557
Callithrix jacchus	Common marmoset	Sanger	Animalia	Chordata	Monocentric	342	43	0.45348	45.348	0.012565	1.2565	0.3294106712	4	44	3.43	1958.997727	not found	fasta.callithrix_jacchus.033.gz; fasta.callithrix_jacchus.034.gz; fasta.callithrix_jacchus.035.gz; fasta.callithrix_jacchus.043.gz; fasta.callithrix_jacchus.045.gz	nd
Callorhinchus milii	Elephant shark	Sanger	Animalia	Chordata	Monocentric	57	61	0.74548	74.548	0.009788	0.9788	-0.03091399347	4	nd	0.91	nd	found	fasta.callorhinchus_milii.001.gz; fasta.callorhinchus_milii.002.gz; fasta.callorhinchus_milii.003.gz; fasta.callorhinchus_milii.004.gz; fasta.callorhinchus_milii.005.gz	nd
Camponotus floridanus	Florida carpenter ant	Illumina	Animalia	Arthropoda	Monocentric	109	39	nd	nd	0.002364	0.2364	-2.080698059	3	nd	0.32	nd	nd	nd	SRX022796
Canis latrans	Coyote	Sanger	Animalia	Chordata	Monocentric	249	51	0.63303	63.303	0.003872	0.3872	-1.368849142	3	78	2.82	279.9753846	not found	fasta.canis_latrans.001.gz	nd
Canis lupus familiaris	Domestic dog	Sanger, Illumina	Animalia	Chordata	Monocentric	249	53	0.64828	64.828	0.042108	4.2108	2.074094354	5	78	2.81	3033.935385	not found	fasta.canis_familiaris.005.gz; fasta.canis_familiaris.022.gz; fasta.canis_familiaris.029.gz; fasta.canis_familiaris.031.gz; fasta.canis_familiaris.034.gz; fasta.canis_familiaris.051.gz; fasta.canis_familiaris.059.gz; fasta.canis_familiaris.071.gz; fasta.canis_familiaris.075.gz; fasta.canis_familiaris.076.gz	ERX006755
Cannabis sativa	Cannabis	Illumina	Plantae	Eudicot	Monocentric	113	49	nd	nd	0.002762	0.28	-1.856214775	3	nd	0.84	nd	nd	nd	SRX100370
Capitella teleta	Polychaete worm	Sanger	Animalia	Annelida	Monocentric	141	35	0.10558	10.558	0.001075	0.1075	-3.217591435	2	nd	0.24	nd	not found	fasta.capitella_sp__i_ecs-2004.002.gz; fasta.capitella_sp__i_ecs-2004.004.gz; fasta.capitella_sp__i_ecs-2004.005.gz; fasta.capitella_sp__i_ecs-2004.006.gz; fasta.capitella_sp__i_ecs-2004.008.gz	nd
Capra hircus	Goat	Illumina	Animalia	Chordata	Monocentric	817	61	nd	nd	0.056037	5.6037	2.486379722	5	60	3.24	6051.996	nd	nd	SRX016522
Capsella rubella	Shepherd's purse	Sanger, Illumina	Plantae	Eudicot	Monocentric	168	32	0.7507	75.07	0.044556	4.4556	2.155619721	5	16	0.5	2784.75	found	fasta.capsella_rubella.001.gz	SRX026844
Carica papaya	Papaya	Illumina	Plantae	Eudicot	Monocentric	324	50	nd	nd	0.025239	2.5239	1.33565475	5	18	0.38	1065.646667	nd	nd	SRX025880
Castanopsis echinocarpa	Ko nam	Illumina	Plantae	Eudicot	Monocentric	169	36	nd	nd	0.003302	0.3302	-1.598587975	3	nd	nd	nd	nd	nd	SRX017482
Castanopsis indica	Chinkapin	Illumina	Plantae	Eudicot	Monocentric	52	69	nd	nd	0.003642	0.3642	-1.457197173	3	nd	nd	nd	nd	nd	SRX017483
Cavia porcellus	Guinea pig	Sanger	Animalia	Chordata	Monocentric	260	61	0.2806	28.06	0.000173	0.0173	-5.853084152	1	nd	nd	nd	not found	fasta.cavia_porcellus.001.gz; fasta.cavia_porcellus.008.gz; fasta.cavia_porcellus.011.gz; fasta.cavia_porcellus.014.gz; fasta.cavia_porcellus.019.gz	nd
Chinchilla lanigera	Chinchilla	Illumina	Animalia	Chordata	Monocentric	443	48	nd	nd	0.028139	2.8139	1.492571059	5	64	3.96	3482.20125	nd	nd	SRX081857
Chlamydomonas reinhardtii	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	184	59	0.15123	15.123	0.001455	0.1455	-2.780908942	3	34	0.121	10.35617647	found	fasta.chlamydomonas_reinhardtii.001.gz; fasta.chlamydomonas_reinhardtii.002.gz; fasta.chlamydomonas_reinhardtii.003.gz; fasta.chlamydomonas_reinhardtii.004.gz; fasta.chlamydomonas_reinhardtii.005.gz; fasta.chlamydomonas_reinhardtii.006.gz	nd
Choloepus hoffmanni	Sloth	Sanger	Animalia	Chordata	Monocentric	117	37	0.87453	87.453	0.015909	1.5909	0.6698431543	4	50	3	1909.08	not found	fasta.choloepus_hoffmanni.002.gz; fasta.choloepus_hoffmanni.003.gz; fasta.choloepus_hoffmanni.006.gz; fasta.choloepus_hoffmanni.007.gz; fasta.choloepus_hoffmanni.010.gz; fasta.choloepus_hoffmanni.011.gz; fasta.choloepus_hoffmanni.012.gz; fasta.choloepus_hoffmanni.014.gz; fasta.choloepus_hoffmanni.016.gz; fasta.choloepus_hoffmanni.019.gz	nd
Ciona intestinalis	Vase tunicate	Sanger	Animalia	Chordata	Monocentric	207	64	0.22818	22.818	0.003685	0.3685	-1.440263476	3	28	0.2	52.64285714	not found	fasta.ciona_intestinalis.003.gz; fasta.ciona_intestinalis.004.gz; fasta.ciona_intestinalis.010.gz; fasta.ciona_intestinalis.012.gz; fasta.ciona_intestinalis.013.gz	nd
Ciona savignyi	Pacific transparent sea squirt	Sanger	Animalia	Chordata	Monocentric	186	59	0.19811	19.811	0.00457	0.457	-1.12973393	3	28	0.174	56.79857143	found	fasta.ciona_savignyi.002.gz; fasta.ciona_savignyi.003.gz; fasta.ciona_savignyi.004.gz; fasta.ciona_savignyi.005.gz; fasta.ciona_savignyi.006.gz; fasta.ciona_savignyi.007.gz; fasta.ciona_savignyi.009.gz; fasta.ciona_savignyi.010.gz	nd
Citrus clementina	Clementine mandarin	Sanger	Plantae	Eudicot	Monocentric	181	64	0.8642	86.42	0.094232	9.4232	3.236217064	6	36	0.38	1989.342222	not found	fasta.citrus_clementina.001.gz	nd
Citrus sinensis	Orange	Sanger	Plantae	Eudicot	Monocentric	181	65	0.88764	88.764	0.068165	6.8165	2.769031163	5	36	0.38	1439.038889	not found	fasta.citrus_sinensis.001.gz; fasta.citrus_sinensis.001.gz	nd
Clonorchis sinensis	Chinese liver fluke	Illumina	Animalia	Platyhelminthes	Monocentric	45	62	nd	nd	0.00001	0.001	-9.965784285	1	nd	nd	nd	nd	nd	SRX0999035
Cricetulus griseus	Chinese hamster	Illumina	Animalia	Chordata	Monocentric	6	50	nd	nd	0.0089375	0.89375	-0.1620567581	4	22	3.2	2600	nd	nd	SRX091174
Ctenopharyngodon idella	Grass carp	Illumina	Animalia	Chordata	Monocentric	21	33	nd	nd	0.002765	0.2765	-1.854648614	3	48	1.03	118.6645833	nd	nd	ERX009974
Culex pipiens quinquefasciatus	Mosquito	Sanger	Animalia	Arthropoda	Monocentric	164	39	0.23189	23.189	0.006857	0.6857	-0.5443505727	4	6	1.02	2331.38	not found	fasta.culex_pipiens_quinquefasciatus.002.gz; fasta.culex_pipiens_quinquefasciatus.004.gz; fasta.culex_pipiens_quinquefasciatus.008.gz; fasta.culex_pipiens_quinquefasciatus.011.gz; fasta.culex_pipiens_quinquefasciatus.012.gz	nd
Cynocephalus variegatus	Sunda flying lemur	Sanger	Animalia	Chordata	Monocentric	350	40	0.84932	84.932	0.013815	1.3815	0.4662355622	4	38	3	2181.315789	not found	fasta.cynocephalus_variegatus.001.gz	nd
Cynocephalus volans	Philippine flying lemur	Sanger	Animalia	Chordata	Monocentric	351	45	nd	nd	0.011417	1.1417	0.1911836092	4	38	3	1802.684211	not found	fasta.cynocephalus_volans.001.gz	nd
Danio albolineatus	Zebrafish	Illumina	Animalia	Chordata	Monocentric	109	27	nd	nd	0.068443	6.8443	2.774902998	5	50	1.42	3887.5624	nd	nd	ERX009964
Danio nigrofasciatus	Zebrafish	Illumina	Animalia	Chordata	Monocentric	190	37	nd	nd	0.06905	6.905	2.787641414	5	50	1.4	3866.8	nd	nd	ERX009965
Danio rerio	Zebrafish	Sanger, Illumina	Animalia	Chordata	Monocentric	186	36	0.33238	33.238	0.014784	1.4784	0.5640366619	4	48	1.75	1078	found	fasta.danio_rerio.006.gz; fasta.danio_rerio.024.gz; fasta.danio_rerio.052.gz; fasta.danio_rerio.068.gz; fasta.danio_rerio.072.gz; fasta.danio_rerio.088.gz	ERX007485
Daphnia pulex	Water flea	Sanger	Animalia	Arthropoda	Monocentric	190	29	0.12873	12.873	0.006701	0.6701	-0.5775516878	4	24	0.28	156.3566667	found	fasta.daphnia_pulex.001.gz; fasta.daphnia_pulex.002.gz; fasta.daphnia_pulex.004.gz; fasta.daphnia_pulex.005.gz; fasta.daphnia_pulex.006.gz	nd
Dasypus novemcinctus	Nine-banded armadillo	Sanger	Animalia	Chordata	Monocentric	173	36	0.63314	63.314	0.003326	0.3326	-1.588139926	3	64	5.41	562.301875	found	fasta.dastpus_novemcinctus.013.gz; fasta.dastpus_novemcinctus.018.gz; fasta.dastpus_novemcinctus.020.gz; fasta.dastpus_novemcinctus.037.gz; fasta.dastpus_novemcinctus.039.gz; fasta.dastpus_novemcinctus.043.gz	nd
Daubentonia madagascariensis	Aye-aye	Illumina	Animalia	Chordata	Monocentric	270	47	nd	nd	0.0161695	1.61695	0.6932750679	4	30	3	3233.9	nd	nd	SRX114576
Dictyocaulus viviparus	Lungworm	Sanger	Animalia	Nematoda	Holocentric	157	38	0.19355	19.355	0.007802	0.7802	-0.3580840965	4	12	0.06	78.02	not found	fasta.dictyocaulus_viviparus.0001.gz	nd
Dipodomys ordii	Ord's kangaroo rat	Sanger	Animalia	Chordata	Monocentric	50	70	0.05785	5.785	0.000285	0.0285	-5.13289427	1	74	4.23	32.58243243	found	fasta.dipodomys_ordii.007.gz; fasta.dipodomys_ordii.008.gz; fasta.dipodomys_ordii.010.gz; fasta.dipodomys_ordii.012.gz; fasta.dipodomys_ordii.014.gz	nd
Dirofilaria immitis	Heartworm	Illumina	Animalia	Nematoda	Holocentric	179	31	nd	nd	0.002089	0.2089	-2.259115602	3	nd	nd	nd	nd	nd	ERX013258
Drosophila albomicans	Fruitfly	Illumina	Animalia	Arthropoda	Monocentric	35	17	nd	nd	0.007722	0.7722	-0.3729535406	4	6	0.2	514.8	nd	nd	SRX010928
Drosophila ananassae	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	68	38	0.26563	26.563	0.022324	2.2324	1.158595552	5	6	0.2	1488.266667	found	fasta.drosophila_ananassae.002.gz; fasta.drosophila_ananassae.003.gz; fasta.drosophila_ananassae.005.gz; fasta.drosophila_ananassae.007.gz; fasta.drosophila_ananassae.008.gz	nd
Drosophila biarmipes	Fruitfly	454	Animalia	Arthropoda	Monocentric	196	32	nd	nd	0.00751	0.751	-0.4131151871	4	8	0.2	375.5	nd	nd	SRX095626
Drosophila bipectinata	Fruitfly	454	Animalia	Arthropoda	Monocentric	142	35	nd	nd	0.023157	2.3157	1.211448364	5	8	0.2	1157.85	nd	nd	SRX094522
Drosophila elegans	Fruitfly	Illumina	Animalia	Arthropoda	Monocentric	149	26	nd	nd	0.014532	1.4532	0.5392332709	4	12	0.2	484.4	nd	nd	SRX094536
Drosophila erecta	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	248	34	0.52772	52.772	0.003824	0.3824	-1.386845572	3	6	0.15	191.2	not found	fasta.drosophila_erecta.001.gz; fasta.drosophila_erecta.002.gz; fasta.drosophila_erecta.004.gz; fasta.drosophila_erecta.005.gz; fasta.drosophila_erecta.006.gz	nd
Drosophila eugracilis	Fruitfly	454	Animalia	Arthropoda	Monocentric	107	35	nd	nd	0.002708	0.2708	-1.884700356	3	8	0.23	155.71	nd	nd	SRX095624
Drosophila ficusphila	Fruitfly	454	Animalia	Arthropoda	Monocentric	199	33	nd	nd	0.10444	10.444	3.384602458	6	8	0.19	4960.9	nd	nd	SRX095448
Drosophila grimshawi	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	158	31	0.654	65.4	0.084954	8.4954	3.086681877	6	12	0.25	3539.75	not found	fasta.drosophila_grimshawi.001.gz; fasta.drosophila_grimshawi.002.gz; fasta.drosophila_grimshawi.003.gz; fasta.drosophila_grimshawi.005.gz; fasta.drosophila_grimshawi.006.gz	nd
Drosophila kikkawai	Fruitfly	454	Animalia	Arthropoda	Monocentric	109	27	nd	nd	0.01035	1.035	0.04963076772	4	8	0.21	543.375	nd	nd	SRX095451
Drosophila melanogaster	Fruitfly	Sanger, Illumina	Animalia	Arthropoda	Monocentric	358	30	0.375	37.5	0.008465	0.8465	-0.2404180268	4	8	0.18	380.925	not found	fasta.drosophila_melanogaster.007.gz; fasta.drosophila_melanogaster.008.gz; fasta.drosophila_melanogaster.009.gz; fasta.drosophila_melanogaster.010.gz; fasta.drosophila_melanogaster.011.gz; fasta.drosophila_melanogaster.012.gz; fasta.drosophila_melanogaster.013.gz; fasta.drosophila_melanogaster.014.gz; fasta.drosophila_melanogaster.015.gz; fasta.drosophila_melanogaster.016.gz	SRX010900
Drosophila mojavensis	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	183	36	0.42547	42.547	0.011795	1.1795	0.2381754186	4	12	0.17	334.1916667	not found	fasta.drosophila_mojavensis.002.gz; fasta.drosophila_mojavensis.003.gz; fasta.drosophila_mojavensis.004.gz; fasta.drosophila_mojavensis.005.gz; fasta.drosophila_mojavensis.006.gz; fasta.drosophila_mojavensis.007.gz	nd
Drosophila persimilis	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	169	49	0.41998	41.998	0.006393	0.6393	-0.645435001	3	10	0.19	242.934	found	fasta.drosophila_persimilis.001.gz; fasta.drosophila_persimilis.002.gz; fasta.drosophila_persimilis.003.gz	nd
Drosophila pseudoobscura	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	84	50	0.2178	21.78	0.009777	0.9777	-0.03253624209	4	12	0.18	293.31	found	fasta.drosophila_pseudoobscura_pseudoobscura.001.gz; fasta.drosophila_pseudoobscura_pseudoobscura.002.gz; fasta.drosophila_pseudoobscura_pseudoobscura.003.gz; fasta.drosophila_pseudoobscura_pseudoobscura.004.gz; fasta.drosophila_pseudoobscura_pseudoobscura.006.gz	nd
Drosophila rhopaloa	Fruitfly	454	Animalia	Arthropoda	Monocentric	141	40	nd	nd	0.010604	1.0604	0.08460857532	4	10	0.2	424.16	nd	nd	SRX095455
Drosophila sechellia	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	162	36	0.56979	56.979	0.009033	0.9033	-0.1467228861	4	8	0.17	383.9025	not found	fasta.drosophila_sechellia.001.gz; fasta.drosophila_sechellia.002.gz; fasta.drosophila_sechellia.003.gz; fasta.drosophila_simulans.001.gz	nd
Drosophila simulans	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	163	39	0.25538	25.538	0.00138	0.138	-2.857259828	3	8	0.15	51.75	found	fasta.drosophila_simulans.002.gz; fasta.drosophila_simulans.003.gz; fasta.drosophila_simulans.004.gz; fasta.drosophila_simulans.005.gz	nd
Drosophila takahashii	Fruitfly	454	Animalia	Arthropoda	Monocentric	332	36	nd	nd	0.002737	0.2737	-1.86933266	3	8	0.2	136.85	nd	nd	SRX095457
Drosophila virilis	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	153	31	0.23596	23.596	0.006687	0.6687	-0.5805689776	4	12	0.34	378.93	found	fasta.drosophila_virilis.002.gz; fasta.drosophila_virilis.004.gz; fasta.drosophila_virilis.005.gz; fasta.drosophila_virilis.006.gz; fasta.drosophila_virilis.007.gz	nd
Drosophila willistoni	Fruitfly	Sanger	Animalia	Arthropoda	Monocentric	92	44	0.23207	23.207	0.015066	1.5066	0.5912964344	4	8	0.21	790.965	not found	fasta.drosophila_willistoni.001.gz; fasta.drosophila_willistoni.002.gz; fasta.drosophila_willistoni.003.gz; fasta.drosophila_willistoni.004.gz; fasta.drosophila_willistoni.005.gz	nd
